prompt,run_id,seed,fold,epoch,split,class_name,draws,unique_nuclei,unique_groups,repeat_fraction,roi_exposure,bucket_exposure
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,3,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,3,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,plasma_cell,3,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,histiocyte,3,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,3,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,3,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,3,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,3,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,endothelium,3,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,apoptosis,3,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,2,train,tumor,3,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN
